タイトル;登録者;登録日時;作成キャンバスのコンテンツ
□ttc0166　３．１１　（その５）;倉川 清志;11/03/2015 10:00;"

公開日：2015/03/11


 
 
錦華公園に着いて、点呼。
所在が明確になりそのまま帰宅出来る人は、帰宅へ。
揺れが、少し落ち着いてグレースビルに戻った。
よくよく気がつくと、３Ｆ、２Ｆはそれほど荒れていない。
やはり、この程度のビルでも上に行くほど揺れるのだ。
（このとき、移転先の１つとして午前中に見に行って、「いいじゃない」と結構本気で考えていた９階の物件の案は消えた）
荷物をとって帰宅出来る人は帰宅した。
火災になる可能性のあるものをつぶして、机やキャビネットの鍵を掛けるところにかけた。
５Ｆ会議室に震災対策室を設置し、外の社員の安否確認を続けた。
お客様が、５Ｆまで階段で上がっていらした。
「打合せできたんですが・・」
「今日はちょっと」と返答したが、その前に荒れ果てたオフィスをみて察していただけたようだ。
（さすがに、今日は打合せできませんでした・・済みません横瀬社長）
二手に手分けしていた買い出し班は、おにぎりや即席麺を買ってきてくれた。
（まだ、そのころはコンビニあったようだ）
余震は続く。
"
□ttc0167　３．１１　（その６）;倉川 清志;11/03/2015 10:00;"

公開日：2015/03/20


 
 
安否確認を行い、社内外に出社しているメンバーの確認が終了した。
グレースビルには帰宅を選択しなかったメンバーがまだ残っていた。
グレースビルの階段は内階段にもかかわらず、執務室の躯体構造と階段の躯体構造が別のようで、その間に亀裂が入っていた。
木造建築の場合、トイレが一番安心ということは昔ながらに聞いていた。（狭いところに柱が多いので）
それは今回の震災の少し前にニュージーランドであった、クライストチャーチ地震でも階段だけが残っているビルの映像を見て確信にかわっていたので、大きな揺れの度に柱が多い階段スペースまで移動し、揺れが続くとそのまま１Ｆまで駆け下りた。
何度も・・何度も・・
階段の窓の上の亀裂から落ちてきた瓦礫はモニュメントとしてタームスに持ってきた。
 
 

 
 
ここは危険と思い、物件見学の後、昼食をしたすずらん通りのパセラ（カレーバイキングをやっていた。歌っていません）のカラオケルームに非難しようとして予約に行ったが満杯だった。
"
□ttc0168　３．１１　（その７）;倉川 清志;11/03/2015 10:00;"

公開日：2015/04/16


 
 
だいぶ街は落ち着いてきた。
５Ｆ会議室にあつまってテレビを見ていたら、信じられない情報が入ってきた。
津波で１００人不明！
何それ！
9.11・・飲んだ帰りに何気なく横目で見ていた映画のような映像が、
　　　　帰宅後、実際の映像だとわかった時の衝撃と同じだ。
暫くすると信じられない大津波の映像が入ってきた。
次から次へと・・これでもかと追い打ちをかけるように。
２１時過ぎに街に出てみた。
三省堂書店の交差点は、東南アジアの喧噪を思わせる様相だった。（写真）
 
 

 
ためしに件（くだん）のパセラに行ってみた。
「昼にいらした方ですね」（昼食をしたことを、なんと覚えていた）
そして、丁度、１部屋空いているときたもんだ。
即、予約して、グレースビルにもどり、将来のある若手に移動してもらった。
・・・
グレースビルの５Ｆ会議室。
白板に辞世の句でも書こうか！と提案したが・・ノリは悪かった。
"
□ttc0169　３．１１　（その８）;倉川 清志;11/03/2015 10:00;"

公開日：2015/03/11


 
 
翌朝になった・・
余震はだいぶ納まっている。
パセラ組と合流し、動き出すことにした。
先ずは、錦華公園に行った。
これからそれぞれどう行動するかを確認していると・・
袋をもったおねえさんが近寄ってきて、おにぎりをくれた。
とても暖かくなった。
・・・
その日はまだ運休、遅延はあるものの電車は動こうとしていた。
（その後の計画停電の方がひどかった）
・・・
その頃、浜松町メンバーはガスのシステムを守るために格闘していた。
他の場所でも、それぞれのメンバーが、それぞれの立場で震災に立ち向かっていたことだろう。
帰宅したメンバーも並大抵の労力でなかったとおもう。
ご家族や関係者の方にご不幸があった方も大勢いたと思いますが、
ｔｔｃメンバーや家族、そしてお客様にも大過が無かったことは幸いだった。
今日は災害から４年目。
いまいちど、震災を振り返り、今ここに皆さんといることに感謝したい。
（拝）
"
□ttc0170　３．１１　その後;倉川 清志;12/03/2015 10:00;"

公開日：2015/04/01


 
 
ｔｔｃは２０１１年８月にオフィスを移転する予定でした。
ところが震災により社員のみなさんの不安はピークを迎え、１日でも早く！という声があがりました。
まぁ、当然ですよね。
そこで出来るだけ早く準備し、１ヶ月早い７月に移転することにしました。
（検討していた物件で５階以上はボツになっていたので絞り込みも楽になりました）
タームスビル（現在はVORT秋葉原）に決めてからも、サーバー室をどこにするのかとか、窓際はＯＡフロアになってないとか、換気口の関係でパーテーションがきれないとか、とか、とか、いろいろな難問はありましたが、何とか移転に漕ぎ着けました。
移転パーティーは、みなさんの家族にも来てもらって・・楽しかったですね。
蛍光灯が間引いてあるのは、震災の影響です。
いつまた震災があるやも知れません。
日本は幾度の大震災を乗り越え発展してきました。
まだまだ３．１１の影響が残っていますが、それらを糧に前進していきましょう。
"
□ttc0171　３月のアクティブ例会　（過去問）;倉川 清志;13/03/2015 10:00;"

公開日：2015/03/13


 
 
来週の月例会は、アクティブ例会です。
　　　日時：2015/03/20（金）19:00～21:00
今回は第1回目と同じようなグループ対抗クイズ形式です。
２Ｇの連覇をとめるグループが現れるか！
はたまた、３連覇なるか！
傾向と対策のため、過去問をアップします。
参加しなかった人は、参考にしてみてください。
そして、やってみてください。
 
 

 
 
どうです、正解率は？
各グループからの参加者は、ＧＬもしくはＧＬから依頼されたキャプテンが募っています。
年度末で忙しいとは思いますが、ふるって参加して、ttcダラーをゲットしてください。
"
□ttc0172　上野東京ライン;倉川 清志;16/03/2015 10:00;"

公開日：2015/03/24


 
 
・３月１５日（日）夜。京都から新幹線で戻ってきた。
いつもなら、東京駅に着き、山手線で上野に向かい常磐線に乗る。
新横浜あたりで、「そういえば・・」と気付いた。
上野東京ラインがある！
調べてみると、品川発があるじゃないですか？
さっそく品川で降りて、常磐線へ。
東京まではガラガラだったが、上野駅ではさすがに乗ってきた。
しかし、これは楽だ。（乗り換えも近いし）
　　京都－東京－上野－松戸　（今まで）
　　京都－品川－松戸
・３月１６日（月）朝。
上野から東京に向かっている上野東京ラインは結構込んでいた。
それを見たせいか、上野～秋葉原間の山手線は気持ち空いていた様な・・
帰宅時の上野駅の常磐線の様相が気になるが、それはこれからのお楽しみ。
"
□ttc0173　腸内フローラ　Part2;倉川 清志;17/03/2015 10:00;"

公開日：2015/04/18


 
 
「不食の時代」という映画がある。
１日、青汁１杯で十数年生活している人の話だ。
試写会があり見に行ったら、その方も映画館に来ていた。
鍼灸師をしているぽっちゃりした女性でした。
食事をするとめまいがするというメニエール病のような病気で
甲田式断食療法を経て、その青汁１杯の生活に行き着いた。
その映画をみて、胃袋を空腹にする時間が必要なんだ！と気付いた。
つまり、いつでも何か胃袋に入っているというのは、胃袋を休めていない。
何も入ってない状態をつくってあげることが大事。
時間がきたから食事をするのではなく、お腹が空いて、”ぐぅ～”と鳴ったあと食事をする。
毎日は実践できないが、意識しているだけでも体重は減ってきた。
青汁１杯で何故生きていけるのか！　それは彼女の腸内フローラのお陰だったんだ・・。
・・つながった。
"
□ttc0174　３．１１　その後の後;倉川 清志;18/03/2015 10:00;"

公開日：2015/03/11


 
 
３．１１があって電話が通じないことが判明した後、
ｔｔｃがSkype電話を設置したことを覚えている人は、いないだろう。
今年の３．１１の日、震災のあった時間にテレビをつけ、黙祷をした。
そして、久々にｔｔｃにSkypeで電話を掛けてみることにした。
　　　　　　Skype-id　：　ttc-phone
Skype電話は総務席にあるので驚かせることになってしまうが、災害訓練の一環だと思い電話をした。
　　　・・・
　　　・・・
　　　・・・　　かからない
なんと、Skype電話のコードが抜けていた。
３．１１
　いろいろなことを思い起こすことは必要だ。
　（もちろん、Skype電話は再接続し復帰しました）
"
□ttc0175　３月のアクティブ例会　（過去問の解答）;倉川 清志;19/03/2015 10:00;"

公開日：2015/04/16


 
 
明後日の月例会は、アクティブ例会です。
　　　日時：2015/03/20（金）19:00～21:00
今までの勝敗は、グループからの出題によって左右されています。
さてさて、今回はどんな問題が出てくるのか！
過去問としてブログttc0171に掲載した問題の解答です。
 
 

 
どうでした♪
超忙しいひとも、気分転換に週末の２時間、楽しみましょう♪
"
□ttc0176　逆さ地図;倉川 清志;20/03/2015 10:00;"

公開日：2015/03/11


 
 
大陸から日本を見た地図です。
中国から大海に出ようとすると、日本列島から沖縄、台湾につらなる大きな壁を感じるでしょうね。
その昔、日本海側が表玄関だったことも分かる気がします。
ものの見方をかえると、今まで見えなかったものが見えてきますね。
あなたは、この地図から何が見えてきますか？
 
 

 
"
□ttc0177　第３回アクティブ例会　優勝　連合　初優勝！;倉川 清志;22/03/2015 10:00;"

公開日：2015/03/17


第３回のアクティブ例会はクイズ形式のグループ対抗戦だった。
 
２連覇中の第２グループを阻止できるのか、はたまた連勝記録を延ばすのか！
 
総理大臣問題と中東の国名問題という大量得点のチャンスがあったので点差は！と気になったていたが結果を見てみると１点差という僅差の勝負だった。
優勝は２Ｇを阻止して連合グループ。
５０周年ビジョンの問題などで着実に加点していったことやグループ問題で他グループに点を与えなかったことが勝因だろう。
 
圧巻は中東諸国の９つの国名を全て解答した渡辺由貴夫さん。当然ダントツのＭＶＰに輝いた。
 
 

 
 
"
□ttc0178　身近だったサリン事件;倉川 清志;22/03/2015 10:00;"

公開日：2015/05/07


 
 
先週の金曜日はサリン事件があってちょうど２０年目の日でした。
麻原彰晃が「朝まで生テレビ」に信者の肩に手を掛け登場し、田原総一朗の突っ込みに意味不明な受け答えをし、衆議院選挙に立候補し惨敗をしていた頃、教団では陰謀説からサリン製造に向かっていったらしい。
当時、毎日のように安売りパソコンのチラシを配っていてたのはマハポーシャ。
教団の運営と知らずに購入した人も、その安さ故に知っていて購入した人もいたはずだ。
その日、1995年3月20日は月曜日だった。
神田神保町１丁目50番地にあったｔｔｃに私は千代田線の新御茶ノ水より歩いて通っていた。
サリンの入ったビニール袋が傘で刺されたのが新御茶ノ水駅（8:02）。
事件のことを知ったのは会社に居るときだったので、多分その電車よりも速い電車で出勤していたのだと思う。
当時はあまり深刻に考えなかったが、今思うと紙一重だった・・
とばっちりを受けたのはオーム社。
理工系の参考書を専門とする出版社だ。
ｔｔｃでもその影響はあった、ｔｔｃを退社した人がつくっていた会社名が「アレフゼロ」。
アレフという名前には今でも反応する訳だから、当時としては尚更だった。
もちろんまったく関係無いが、こちらもとんだとばっちりだった。
その後、駅からゴミ箱が消えた。
"
□ttc0179　サントリー黒烏龍茶のＣＭにもの申す;倉川 清志;24/03/2015 10:00;"

公開日：2015/03/19


 
 
サントリーの黒烏龍茶のＣＭを見て、ビックリした。
（たぶん有名な）外人の女性（タレント？）がトンカツ屋さんで上手に箸でトンカツを食べ、
Ｍｙバックの中からペットボトルの烏龍茶を取り出し、飲む・・というものだ。
えっえっ！　と思いませんか？
持ち込んで飲んじゃダメでしょ。
店で烏龍茶を扱っている／扱ってないにかかわらず・・
店内でスマホで写真を撮りまくっている昨今からしたら、日常茶飯な光景なのか！
こうして、どこでもＭｙバックからＭｙ飲み物を飲む文化が創造されていくのだろう。
"
□ttc0180　日本大学生産工学部の開講式　（追い込み）;倉川 清志;30/03/2015 10:00;"

公開日：2015/04/18


 
 
日大生産工学部での開講式が近づいてきて、その原稿を書き進めてきて、やっと目処がたった。　９８００文字・・久々に良く書いたものだ。
（ｔｔｃブログの更新も滞っていたが、そろそろ復活しよう！）
開講式での講演は、当初はパワポなしで、ということでしたが、なんとかパワポの了解は得て、準備をすすめていた。
ところが、準備を進めていくうちに、今回の規模だとパワポを使わない方が話しやすいかな・・と思うようになった。
日大の特別講師として８０名程度で９０分の講義は７年間やらせてもらっているし、
２０名弱が参加する朝会の１０分プレゼンは５年続けている。
これらではパワポというカンニングペーパーを頼りにできた。
しかし１８００名を前に４０分間の講義になると通用しない気がする。
パワポなどに頼らず、全霊で自分自身を語るしかない。
・人生に無駄なことは１つもない
・大きな意識（志）をもって、今、目の前のことを楽しめ
そんなことを伝えられたらと思っています。
"
□ttc0181　入社おめでとう！;倉川 清志;1/04/2015 10:00;"

公開日：2015/04/01


 
 
本日よりｔｔｃに新しいメンバー４名が加わりました。
入社おめでとう！
内田君、藤原君、丸山君、水間さんの４名です。
４人ともそれぞれ個性的でとても楽しみなメンバーです。
「技術でサービスを提供する」という社是のもと
目の前の課題に貪欲に取り組んで欲しいと思います。
新人が入社してくれるのはとても嬉しいことですが、
私たちも１年、年を重ねたことになったわけですね。
干支が一回り下の人が入社してきたときが一番ショックでしたが
あとは、もう慣れました。
少年老い易く学成り難し
まだまだ、若いモンにゃぁ・・と思いつつ
私たちは私たちの役割を研ぎ澄まし、邁進するしかないですね
"
□ttc0182　日本大学生産工学部の開講式;倉川 清志;1/04/2015 10:00;"

公開日：2015/05/07


 
 
日本大学生産工学部の開講式に出席し、講義をしてきました。
自分が入学したときの開講式とはまったくイメージが違っていました。
何しろ３７年前ですからね。そりゃ当然です。
私達ときの開講式は、賑やかだったレベルではなく、あまりに騒がしかった。
日大には付属高校が多く、そのメンバーが高校の延長で大騒ぎをしていた。
それが、私の中の「何かやらねば」というスイッチを押したので、今にして思えば、良かったのだが・・。
新入生だけで１５００名以上、教職員、父母も含めて１８００名くらいが静かに聞いているなんて、奇跡的だ。（携帯の呼び出し音も鳴らずに・・）
ちょうど４０分間話した訳だが、何か１つでも伝わったならとても嬉しい。
開講式が終わり同世代の先生と話をしていて気付いたことがあった。
それは、タバコ臭くないということだ。
さすがに当時でも式典の最中にタバコを吸う輩はいなかったが、廊下やキャンパスの至る所でタバコを吸っていたので、空間全体がタバコ臭かった記憶がある・・
私の入社時にはｔｔｃでも隣の席でタバコを吹かしていたのだから時代は変わったものだ。
時代は知らず知らずゆっくりと、そして確実に変化している。
１０年後の開講式の姿はどうなっているのだろう。
ＷＥＢで実施しているなどという生半可な変化ではないことは確かだろう。
 
 

 
開演前の風景。開演時には満杯になり立ち見となりました。
"
□ttc0183　新株発行と持株会の説明会;倉川 清志;7/04/2015 10:00;"

公開日：2015/04/17


 
 
昨日(4/6)、新株発行と持株会の説明会を実施しました。
新株発行は平成１３年依頼で１４年ぶりとなります。
当時ttcの株式の25％を日本鋼管（現：JFEスチール）が保有しており
会社法の改定により20％以上の株式を保有している会社は関連会社として
親会社と連結決算をする必要に迫られていました。
買い取り交渉には時間がかかるため、分母（つまり発行株式）を増やし、
NKK殿の保有率を下げました。
その時以来の発行となります。
朝９時からの説明会に１３名が参加してくれました。
司法書士の先生にも来ていただき、質問に応えて頂きました。
説明会に参加しなかったから購入できないということではありませんので、
参加出来なかった人や質問がある人は直接私に連絡をください。
"
□ttc0184　「関東ＩＴソフトウエア健康保険組合」;倉川 清志;7/04/2015 10:00;"

公開日：2015/03/17


アクティブ例会に社労士の久嶋さまがいらっしゃり
お約束の「社労士問題」を出してもらった。
 
今回の問題は社会保険料率の問題で
ttcが登録している「関東ＩＴソフトウエア健康保険組合」の保険料率は？という問題でした。
３つの選択肢を出してもらったが、その３つとも実在する保険料率で
「関東ＩＴ」の料率が一番低いものでした。
（えっ、結構違うモンなんだ・・）
 
「関東ＩＴ」というのはｔｔｃが所属している保険組合で、
数年前に、お国が運営する「政府管掌健康保険」から変更しました。
 
今、ttc総会などで使用する会場は「関東ＩＴ」の施設で、とても格安にかりることができます。
 
話は戻り、久嶋さま曰く
「うち（社労士事務所）も何とかソフトウエア会社の登録をして「関東ＩＴに入れないかな」と思っているんですよ・・
（そりゃ無理だと思うけど、それほど「関東ＩＴ」っていいんですね）
「関東ＩＴ」にはソフトウエア関連の会社しか登録できないので、登録者は若い人が多く、病気にもなりにくいので健康保険を使わない、よって料率が低くなるってことだ。
 
皆さんのお手元にも健保マガジン「TOCO TOCO」が配られていると思いますが
個人的に旅行をしたり、施設を利用したりできます。　とても有意義です。
"
□ttc0185　本当に必要なの！？;倉川 清志;13/04/2015 10:00;"

公開日：2015/05/07


 
 
カーナビに地図はあって当たり前と思いきや、運転する人にとって地図は不要だ。
このまま真っ直ぐか、何100メートル先で曲がるか、ここで曲がるかと言った
情報があればよい。
つくば万博のときにトマト１株から数万のトマトを実らせるのに
不要だったのは土だ。
絶対に必要だと思われるものを、違う確度から見るのには勇気がいる。
「私、絶対に８時間寝ないとダメなの～」
「毎日、ジョギングしなきゃ」
「絶対に朝食は摂らないと無理～」
こだわることはプロフェッショナルな条件だ。
だが、何にこだわるかは重要だ。
技術者としてこだわるところはどこか、こだわりの源泉は何で、
どこに向かっているのかは見極めたい。
そして、
そのこだわりを手放すことが出来る人が、スーパープロフェッショナルになり得る。
"
□ttc0186　面接スタート;倉川 清志;16/04/2015 10:00;"

公開日：2015/03/22


 
 
かねてより、やる、やると言ってなかなか実施してきませんでした
面接をスタートしました。
若手から順次、すすめていきます。
"
□ttc0187　指導担当とPDCA;倉川 清志;17/04/2015 10:00;"

公開日：2015/04/17


指導担当制を実施して１０ヶ月、５月の教育フェスタで集大成を迎えます。
教育フェスタでの３名の発表を楽しみにしていてください。
 
指導担当ミーティングもＰＤＣＡに則って行なっています。
それは、全体の企画のＰから年間を通して実施するＤ。
Ｄのラストは教育フェスタで飾り、それを振り返るＣ。
そして、それを広報し、今後どうするのかを決めるＡ。
という大きなＰＤＣＡ（図の最下段）と・・
 
毎月の指導担当ミーティングのＰ、チームに持ち帰って実際に活かすＤ、
翌月の指導担当ミーティングでの振り返りと次につなげるＣとＡという
小さいＰＤＣＡの２つのＰＤＣＡから成り立っています。
 
上記のチームに持ち帰って実際に活かすＤのところ・・注目です。
新人を受け入れた影響は指導担当のみですか？（ａ）
チームに影響を与えていますか？（ｂ）
それともグループ全体にまで影響は及んでいますか（ｃ）。
どこまで指導担当が得てきた成果を共有していますか！？
 
新人はスキルや経験で劣ることはあっても、ピカリと光るものをもっています。
その新鮮なエッセンスは我々が学ぶべきところです。
 
 

 
 
"
□ttc0188　ＡＡＲ（After Action Review）;倉川 清志;17/04/2015 10:00;"

公開日：2015/04/19


 
 
ＡＡＲ（After Action Review）をご存じだろうか？
アメリカ陸軍が、失敗を次に活かす為に行なっているディブリーフィングの１つです。
つまり、その場での振り返りです。
ＡＡＲは次の４つの質問から成っている。
Ｑ１　我々は何をしようとしたのか（目的の再確認）
Ｑ２　実際に何がおきたのか（事実の把握）
Ｑ３　何故そうなったのか（責任の追及無し。原因究明）
Ｑ４　次回、我々がすべきことは何か
このミーティングは速攻で行なうことがポイントだ。
帰って食事してからとか、翌朝やるのではない。
例えば、お客様との打合せが終わった直後にやると良い。
Ｑ１　我々は何をしようとしたのか（目的の再確認）
　　　→見積を承認してもらうこと
Ｑ２　実際に何がおきたのか（事実の把握）
　　　→承認は得られなかった
Ｑ３　何故そうなったのか（責任の追及無し。原因究明）
　　　→テストの工数を説明する資料に抜けがあった
Ｑ４　次回、我々がすべきことは何か
　　　→提出する資料は必ずレビューを通す
日々の小さな違いが、やがて計り知れないくらい大きな違いになる。
"
□ttc0189　ディブリーフィング;倉川 清志;17/04/2015 10:00;"

公開日：2015/03/22


ディブリーフィングって何だ。
 
対の言葉は>ブリーフィング。
パイロットがフライト前にスタッフを集めて行なう短時間の直前ミーティングだ。
今日のフライト予定とか連絡事項を直前に共有することが目的だ。
 
族が今日ぶちかますルートを事前に共有するのも>ブリーフィングだ。
 
よって、客先打合せの直前に
「今日の目的は見積に承認をもらうこと、です。
　まず私が説明します。
　技術的な内容になったらＡ君が説明して、お金の交渉は営業に任せます」
などと決めておく。　これがブリーフィング。
 
よって>ディブリーフィングは、その逆ということになる。
すなわち、事後に同じように短いミーティングの機会を設ける。
その際の１つの手法がＡＡＲ。
"
□ttc0190　意識の範囲はどこまで？;倉川 清志;17/04/2015 10:00;"

公開日：2015/04/07


 
 
あなたの意識の範囲はどこまでですか？
プレゼンをするとき観手（みて：観客）に対してプレゼンしているなら
あなたの範囲は、あなたのプレゼンが観手に届くまでとなる。
観手を含んだ範囲までとするならば、観手がどのようにプレゼンを受け取っているんだろうというところ、つまり、相手の立場にたったプレゼンが可能になる。
別の例をあげると
傘を手に持って歩いているとき傘の先端まで、あなたの意識は含んでいますか？
元気よく腕を振って傘の先端が後方の人に刺さりそうな人をよく見かける。
その人の意識は傘の先端を含んでいない。
意識はどこまでも広げ、含むことができる。
この障害を修正すること自体は、物理的な時間があれば可能だが
それを修正する意識は、どこにいますか？
　修正したら帰れる・・
　上司が喜ぶ・・
　お客さんの期待に応えたい・・
　（当たり前に）蛇口から水をだすため・・
あなたの意識はどこまで広げても自由だ。
私の知り合いにラーメン屋の親父がいる。
昔はトラックの運転手だった（らしい）。
彼曰く、「首都高を作ったのはオレだ」
決して、ウソでは無い、首都高の建材をトラックで運んでいたのだから。
そんな人たちが日本を支えている。
"
□ttc0191　品質を推し量る;倉川 清志;18/04/2015 10:00;"

公開日：2015/04/18


 
 
自分の作成したプログラムを私が作成者というのを知らない客先の方が
隣のマシンで通常業務で使われているのに初めて遭遇したとき
嬉しいような、恥ずかしいような、落ちたら怖いような、複雑な気持ちになった。
プログラムの品質を表現する問いかけとして
「自分のつくった自動運行システムでの飛行機に乗れますか？」ということは
かつて、よく言われてきた。
なかなかインパクトのある問いかけだと思いますが・・いかがですか？
昔、コンビニにおにぎりを卸していた業者は、自社のおにぎりは購入しなかったと聞く。（今は？、それはそれとして・・）
鉄骨を間引いた耐震偽装のマンションに、その設計者は住んでいなかった。
和算において、難しい問題が解けたときに、神社に奉納するという日本独特の文化があった。
この素晴らしい設計にかかわれた、難解なロジックを実装できたなどと
完成したシステムを神社に奉納するぐらいの意識でプログラム開発にかかわれば、
耐震偽装問題などは起きなかったであろう。
神社のみならす、教会や寺院もそのような機能を持っていると思う。
"
□ttc0192　情報処理技術者試験;倉川 清志;19/04/2015 10:00;"

公開日：2015/04/19


 
 
今日は、情報処理技術者試験ですね♪
今の基本、応用は、私たちの頃はまだ二種、一種と言っていました
入社した年の１０月に二種を受け、そのときのＰＥＲＴ（パート）の問題には感動した。
こんなスケジュール管理方法があったのか・・と。
［ＰＥＲＴ： Program Evaluation and Review Technique ］
並行してすすむ作業でどこに問題があるのか
どこに手を入れれば最小の工数で最大の効果を得られるのか
ＰＥＲＴの考え方は、作業ボリュームが分からなくても、その手順を顕わすのにも有効な手法であった。
そして、「クリティカルパス」は通常の言葉となった。
あまり頻繁に口に出したくない単語ではあるが・・
情報処理試験は、業務だけやっていては出会わない素敵な設計方法やキーワードに出会う機会だと思います。
"
□ttc0193　近況：筋肉痛かと思ったら・・;倉川 清志;22/04/2015 10:00;"

公開日：2015/06/26


 
 
筋肉痛かと思ったら、帯状疱疹（たいじょうほうしん）だった。
帯状疱疹は「めちゃくちゃ痛い」と、何度も噂には聞いたことはある。
疲労やストレスで免疫力が低下している時に出てくるらしい。
５０歳以上に多いらしいので、（若い）皆さんが経験するのはまだまだ遠い先だと思います。
一週間ほど前は、筋肉の奥がピリピリしている程度だったので、筋肉痛かな・・と高をくくっていたが、突然赤みがでて水疱になってきた。
確かに、痛い。目が覚めるほどに痛い。
小さい剣山が脇や背中のそこここに予告無しに刺さってくる（プラス、忘れた頃にキリの一刺しがある）感じだ。これはなかなか経験できる痛みでは無い。
３０代前半に尿管結石をやってなかったら、この痛みが最大だったろう。
（そういえば・・痛みを数値化する治療法ってあるんですってね。
　そうすると、人の痛みの程度を分かってあげれるらしい）
昨日が痛みのピークかと思ったら、今日の方が更に上を行っていた。
まだまだ、帯状疱疹軍の方が優勢みたいだ。
今日がピークであることを祈りつつ・・
"
□ttc0194　天気に恵まれた連休でした;倉川 清志;7/05/2015 10:00;"

公開日：2015/04/07


 
 
天気に恵まれた連休でしたね。この時期に天気が良くて暖かいというのは何よりです。
私はというと、体調を考えて、おとなしくしていて、どこにも出かけずの連休でした。
とはいえ、連休の今頃は、チューリップが終わり、芝桜も終わりかけ、ナデシコが咲き始めるころで、ホームセンターには野菜の苗が出回り、夏にむけての準備の時期となります。
ピーマン、キュウリ、トマトを植え、朝顔を撒きました。
夏が楽しみです。
ｔｔｃブログ、久しぶりです。
体調ももどってきたので、また、再開するとします。
 

 
"
□ttc0195　教育フェスタの課題１（裏話）;倉川 清志;7/05/2015 10:00;"

公開日：2015/04/19


 
 
５月１日に「教育フェスタ」が行なわれました。
今回はこの「課題１」の裏話を・・
この「課題１」、当初の2013年の時のものと今回のものでは異なります。
2013年バージョンは『工数（時間）を算出せよ』という課題でした。
この課題を行なったときの結果（下表）は、最小工数６時間、最大工数３５２時間となりました。
つまり、方や１日かからないという人がいて、方や２ヶ月でも終わらないという人もいるという状況でした。
では、なぜこのような結果になったのか・・
それは、見積条件等の話もあるかとは思いますが、一番の理由が・・何だと思います。
 
 

 
それは、見積もる表がなかったということです。
皆さん、見積をやってと頼まれたとき、既に見積項目の表があり、そこに数字を入れていませんか？
2013年バージョンでは、その表がなく、各自で作成していたんです。
それが上記のごとく、６０倍もの工数の違いを産んでしまいました。これでは見積会議になりませんね。
技術見積という工程のなかにも、見積項目を決めるという上流工程と、数字を算出するという下流工程が混在していたんです。
2015年バージョンでは、ここで課題をわけました。
何気に渡される見積項目、それを作成するスキルを意識しよう。その項目を意識することで、見積スキルはアップします。
"
□ttc0196　教育フェスタの課題１（裏話）　その２;倉川 清志;7/05/2015 10:00;"

公開日：2015/05/07


 
 
前号で見積項目を決めるということが見積の上流工程と書きました。
実は、この課題１の見積項目を決めるの、とても大変だったんです。
主任技師（当時）の有志がそれぞれの見積項目を持ち寄り、課題としての見積項目を決めて行きました。
リーダーが「これで」という見積項目がないときに、それぞれの思わくから作成してきた見積項目をどのように１つにまとめていくのか！
どのようにまとめていくと思いますか？
（このタスクは見積項目を考える作業の上流工程にあたりますね）
実際に、とてもタフなタスクでした。
（「７つの習慣」の第６の習慣（相乗効果を発揮）も必須ですね）
このタスクで最も必要なもの、それは「メタ認識」です。
見積項目を上位概念（メタ）でとらえ、分類するための概念のことです。
つまり、ひとつひとつの見積項目をメタ見積項目としてとらえ、分類し、まとめていきます。
メタで捉える試みは、一人ひとりの能力を超えた成果を生み出します。
これは、別の活用方法ですが・・
まったく新しい課題を見積もる際、この「見積項目を決めない」方式はかなり有効です。
一人の認識で作成した見積項目ではなく、複数のバラバラな見積項目の中に、見積漏れを防ぐ宝物がちりばめられています。
"
□ttc0197　魚には水が見えない;倉川 清志;8/05/2015 10:00;"

公開日：2015/04/22


 
 
　「魚には水が見えない
　　鳥には空気が見えない
　　そして、人間には自分が見えない」
　私が主催している朝会には多種多様な職業の人が集まってきます。
　ｔｔｃで仕事をしていては、先ず、お目にかからない職種の方々がほとんどです。
　４月に私がプレゼンすることとなり、彼らの前でｔｔｃのプレゼンをした。
　・1966年創業以来、営業をしていない。
　・技術者のみの会社。
　・大手と直接取引。
　営業しないビジネスモデル。
　顧客の課題を解決することのみに特化したビジネスモデル。
　それで４９年間お仕事をさせていただいている。
　彼らの思考の外の内容だ。なかなか理解してもらえない。
　（ttcのみなさんには当たり前のことですが・・）
　
　価値観の違うところにビジネスは発生します。
　苦手な（価値観の違う）お客様を大切にしよう。
　みんな、よいものをつくりたいと思っている同志なのだから。
"
□ttc0198　Python活用セミナーのご案内;倉川 清志;11/05/2015 10:00;"

公開日：2015/06/30


 
 
　藤原君のゼミを訪問してきました。
並木先生は「Python言語によるプログラミング・イントロダクション」を共著された方で、
熱くPythonのこれからのことを語っていただきました。
その出版記念セミナーがあるとのことで、お誘いを受けました。
日時：2015/5/15（金）12:30受付　13:30開始～17:20終了
場所：インプレスグループセミナールーム
（神田神保町1-105　三井ビルディング23F）
締切の日程は過ぎていますが潜り込めるそうです。
 

 
日時は今週末まのでギリギリですが、古くて新しいPython。
参加希望者がいれば、直接私まで連絡をください。
"
