タイトル;登録者;登録日時;作成キャンバスのコンテンツ
□ttc0011　「瓜田李下」;倉川 清志;22/07/2014 10:00;"

公開日：2014/07/22


 
 
 
「ベネッセ事件」の全員メールで 「瓜田李下」 と書いた。
私がよく用いる熟語の１つなので、何度も聞いたことのある人もいるだろうし、周知している面々も多々いると思う。
学生に講義している際、 『 あなたにとっての 「瓜田李下」 は？ 』 と聞いた。
熟語の意味は分かっていても、”自分ごと”  としての例が思いつかないということは、本来何を意味しているのかを「掴んでない」ということになる。
”瓜畑で靴をなおしたり” 、 ”李（スモモ）の木の下で帽子をなおしたり”  という具体的なシチュエーションは先ずないだろう。
この具体的な例から、その本質（抽象）を掴まないと、自分に活かせる具体例が出てこない。
つまり、これがモグラ叩き。
あなたにとっての「瓜田李下」はなんですか？
"
□ttc0012　生産実習生;倉川 清志;2/08/2014 10:00;"

公開日：2014/07/22


 
 
 
８月１日より４週間、日本大学生産工学部より２名の実習生が来ています。
数理情報工学科、見坐地研究室の砂川慎太郎君と岩本夏実さんです。
よろしくお願いします。
日大生産工学部は生産実習というインターンシップ制度を学部創設以来行なって
います。
ｔｔｃの生産実習生第一号は西岡恭史君で、もう３０年近く前の話です。
それから毎年実習生を受け入れています。
当時の生産実習は夏と冬、１ヶ月ずつ２度の実習が必修でした。
今は２週間もしくは４週間の１度でＯＫとなっています。
時代ですかね。
今、インターンシップと言って各大学でも盛んにやり始めていていますが
中には１日のみという場合もあるようです。
これでは、学生が就業体験を通して社会（会社）経験をするというよりは
採用の一貫の会社説明会という位置づけですね。
社会人と触れることも重要な就業体験です。
みなさん、声をかけてください。
"
□ttc0013　指導担当ミーティング;倉川 清志;5/08/2014 10:00;"

公開日：2014/07/22


 
 
 
新人配属１ヶ月めということで
指導担当ミーティングを行ないました。
今年より、新人の配属先に業務以外も含めて全般的に新人を指導する
「指導担当」を任命しています。
Ｇ４大関君は山元君（今日は代理で柳田さんが出席）
Ｇ１片桐君は相沢君（教育部＆サポートで新井君も参加）
Ｇ２佐藤君は馬場君（佐藤君が社員代替という形で浜松町常駐
　　　　　　　　　　なのでちょっと形式は異なりますが・・）
指導というとカタッ苦しいですが、実際には早く新人になれてもらい
チームのメンバーと親密になって欲しいという意味合いも強いです。
そして、そのことがより良い仕事をしていく土台になると思います。
新人が配属されるということは、受入れるグループにとっても、
よい機会にしていって欲しいと思います。
かのホッピービバレッジも新卒の新人を受け入れることで、
会社全体の文化を変え、労働者の飲み物であったホッピーを
プリン体がなく健康によいホッピーにつくりあげました。
いろいろな可能性にチャレンジしていきましょう。
"
□ttc0014　紀文食品の創業精神;倉川 清志;5/08/2014 10:00;"

公開日：2014/07/22


 
 
 
紀文食品は昨年創業者の生誕100周年の記念行事を行なった。
創業者の想いを今の社員に受け継ぐ責任者として関わっていた
友人のはからいで、社員向けのDVDを見せてもらった。
雪深い山形から単身でてきた創業者の人生そのものが
紀文の食品に込められている。
「感謝　即　実行」の社是のもと
紀文の焼印に込められた想い！
なぜ、大相撲の法被に”紀文”の名前があるのか！
なぜ、紀文が”かまぼこ”を始めたのか！
それは、どこか別の機会にお話しするとして。
説明をうけた最上階の役員フロアのトイレの鏡の下方に
”３０”という数字が出ているカウンターらしきものがあった。
手をかざしてみるとカウントダウンがスタートした。
さすが、食品メーカー！
役員フロアのトイレ利用者にも、「手洗いを３０秒せよ」と
メッセージだ。
しかと、受け取りました。
"
□ttc0015 「なぜなぜ分析」;倉川 清志;11/08/2014 10:00;"

公開日：2014/07/22


 
 
 
「なぜなぜ分析」知っていますか？
元はトヨタの生産方式からきていると思いますが、
今、INETさんで全面的に取り入れています。
問題があったとき、クレームがあったとき
はたまた成功したとき、上手くいったとき
まず、正確な事実関係を把握し、次にそれは「なぜ？」、
「なぜ？」・・と問いかける。
そして、その本質をつかみ、感覚ではなく、再現可能な
オペレーションにつなげていく。
ＧＬ、総務本部長、営業部長にINETさんが使用している本と
同じモノを配布しています。
「なぜなぜ分析10則―真の論理力を鍛える（小倉 仁志）」
振り返りを行なう際の共通言語としていきます。
まずは、ここから始めましょう。
"
□ttc0016　月例会201408　自己紹介（社労士久嶋様、馬場君）;倉川 清志;11/08/2014 10:00;"

公開日：2014/08/18


 
 
 
８月の月例会にて、ｔｔｃの顧問社労士事務所（武蔵野労務行政事務所）の
久嶋さんにお越し頂き、自己紹介プレゼンをしていただいた。
なぜ、社労士を目指したか、社労士として何をしていきたいのか
という問いかけに対する自己紹介でしたが、
明確な答えをもっていて、すがすがしかったですね。
まったくアウェイな状況のなか、答えにくい質問にも正面から
応えてもらいました。　まだ２０代とはさすがです。
みなさんにも聞かせたかったですね。
もうひとりのプレゼンター馬場君
馬場君の自己分析の年表も参考になりましたね。
私も年表は書いているが、あそこまで細かくはなかった。
カテゴライズして整理しておくことはとても効果的だ。
見せてもらえる機会があれば、是非見せてもらってください。
両名とも、プレゼンの依頼をうけてから発表までの日数が
ほとんど無いという状況で、気前よく引き受けてくれました。
すばらしいことです。
"
□ttc0017　お盆の活用（帰省&ルーツ）;倉川 清志;18/08/2014 10:00;"

公開日：2014/08/18


 
 
 
私の実家は近所な為、お盆だから帰省するという行事は特段ないが
今年のお盆は妻と休みを合せて、妻の父が住んでいる水戸に挨拶に伺った。
お盆にどこかに行くというのは何十年ぶりだろう。
というのも、数十年、お盆をずらして休みをとっていたからだ。
水戸まで行ったので、大洗海岸まで足を延ばした。
大洗海岸は家族で行った記憶のある唯一の海水浴場だ。
たぶん４５年ぶりくらいだろう・・原風景だ。
超レアな倉川姓が茨城に集中していることにも関係しているのかもしれない。
ルーツを探ってみるとしよう。
（創業時のttcも探索中です。いずれ広報します）
"
□ttc0018　お盆の活用（市役所）;倉川 清志;18/08/2014 10:00;"

公開日：2014/08/18


 
 
 
お盆休みを利用して戸籍謄本を取りに行った。
（お役所はお盆でも、やっているので・・）
戸籍って本籍のある役所でしかとれないんです。（知ってました？）
それぞれの市区町村で電子化しているハズだが、なにゆえ縦割りなのだろう。
住民基本台帳云々の前に、この辺りから初めてもらったほうが有効だと思う。
森総理がＩＴ立国と言って久しい(H12）が、今は昔か・・
最近は土日もやっている支所を設けている役所もあるそうだ。
行政も”より ”見える化” していくと、次のサービスのつながるだろう。
"
□ttc0019　「提案」できない;倉川 清志;20/08/2014 10:00;"

公開日：2014/08/18


 
 
 
ttcはお客さまから『もっと提案してほしい』と言われている。
（俺はやってるぜ！という人はverygood。その調子で）
では、なぜ、提案ができていないのだろうか？
それを考える前に、「提案できていない」という言葉を考えて見る。
「提案できない」
ちょっと、人ごとっぽさが漂う表現だと思いませんか
より明確に捉えるために、言い換えてみましょう
「提案してない」
どうです、主体的っぽくなってきたでしょ。（７つの習慣の一番目ですね）
「提案」をすることを阻害する要素は何だろうか？
・提案するとやらされる
・提案の内容がプアーだと恥ずかしい
・提案するには、勉強しないといけない
まぁ、やらない理由はいくらでも出てくるでしょう。
その無尽蔵に湧き出るパワーが「提案」につながれば「提案」が途切れることはないはずだ。
つまり、出来ない理由を言える人は、「提案が出来る」ということになる
・提案したからといって実施者にならないようしませんか（と提案する）
・提案の内容を深める検討会をしませんか（と提案する）
・提案する為に勉強会をやりませんか（と提案する）
ほら、ちょっと立ち位置を変えるだけで提案につながります。
自分の人生、他責にしているより、自走してしまったほうが、楽しいと思いますよ。
"
□ttc0020　TGE殿　４０周年;倉川 清志;21/08/2014 10:00;"

公開日：2014/08/18


 
 
 
お客さまの東京ガス・エンジニアリング(TGE)殿が
４０周年を迎えられ、そのご挨拶にご担当のトップの方が
ご挨拶にいらっしゃいました。
ttcは29年前(1985年）に、ガス設備のマッピングシステムの
開発からお付き合いがスタートして今に至ります。
当時を知る人も少なくなってきています。
そこで、
ガス設備のマッピングシステムから、なぜ道路管理に
進出したのか、なぜ水道に横展開できたのか
その辺りの話をして欲しいと依頼しました。
物事をスタートするにはパワーが必要です。
その熱い想いがあったからこそ、今の仕事につながります。
近々、お話しをしてもらう予定です。乞うご期待。
"
